Group,Task Number,Latency (Edge),Data Transmission Latency (Edge),Throughput (Edge)
14,Task 14,0.004432401657104492,0.9765625,200488.6496886264
14,Task 15,0.004345974922180176,0.48828125,101333.56687811529
14,Task 16,0.003459353446960449,0.48828125,134186.73086517016
14,Task 17,0.0036010122299194335,0.29296875,69163.59926139048
14,Task 18,0.003069038391113281,0.29296875,86634.74786507765
14,Task 19,0.003849925994873047,0.1953125,58905.07989208013
14,Task 20,0.0036353588104248045,0.1953125,74002.2677431049
14,Task 21,0.0013408565521240234,0.000762939453,277.6996955720901
14,Task 22,0.0016353273391723634,0.0457763672,19550.097572495742
14,Task 23,0.0015322351455688476,0.0915527344,31169.4303110772
14,Task 24,0.0017215442657470704,0.183105469,66018.24263172393
14,Task 25,0.0002278566360473633,0.000762939453,745.7919330862951
15,Task 1,0.0017886877059936524,6.7024231,4911421.915945777
15,Task 2,0.05525923728942871,61.1328125,48188795.78794023
15,Task 3,0.046130495071411134,30.5664062,25658970.141395632
15,Task 4,0.026710753440856935,30.5664062,22934433.66398253
15,Task 5,0.025787105560302736,15.3320312,88345561.36173066
15,Task 6,0.015412263870239258,15.3320312,363667.70490776276
15,Task 7,0.015003442764282227,7.71484375,219204.23755145867
15,Task 8,0.009164113998413086,7.71484375,378574.1208083117
15,Task 9,0.009231023788452149,3.90625,198548.8440347429
15,Task 10,0.006160788536071778,3.90625,332202.98089280754
15,Task 11,0.006359853744506836,1.953125,170627.50464809546
15,Task 12,0.004571352005004883,1.953125,279350.51882192923
15,Task 13,0.005239953994750976,0.9765625,138662.84275003796
15,Task 14,0.00424196720123291,0.9765625,207765.61190268502
15,Task 15,0.0042563056945800785,0.48828125,100631.2449484839
15,Task 16,0.0033020257949829103,0.48828125,140002.34488599974
15,Task 17,0.0035229969024658204,0.29296875,73283.08614630293
15,Task 18,0.003007211685180664,0.29296875,90524.03797190888
15,Task 19,0.0038460350036621095,0.1953125,60146.05584509282
15,Task 20,0.003709840774536133,0.1953125,77528.16479779345
15,Task 21,0.0013313007354736328,0.000762939453,283.84924190540124
15,Task 22,0.0016627931594848633,0.0457763672,19952.037395862735
15,Task 23,0.0015614032745361328,0.0915527344,31200.964080082125
15,Task 24,0.0017468929290771484,0.183105469,64692.803434403155
15,Task 25,0.00022747039794921876,0.000762939453,751.1450819143678
16,Task 1,0.0017730474472045898,6.7024231,4954746.142778383
16,Task 2,0.05529445171356201,61.1328125,49717770.53572749
16,Task 3,0.04656867027282715,30.5664062,26266439.202568486
16,Task 4,0.026395416259765624,30.5664062,23364152.95596365
16,Task 5,0.025580925941467283,15.3320312,88490250.26666106
16,Task 6,0.015298542976379394,15.3320312,363436.1021265191
16,Task 7,0.015101280212402344,7.71484375,217141.69506575668
16,Task 8,0.009113001823425292,7.71484375,383096.8187993179
16,Task 9,0.009241046905517579,3.90625,200149.12719403795
16,Task 10,0.006146793365478516,3.90625,334672.3938289525
16,Task 11,0.006309266090393066,1.953125,169522.05137532175
16,Task 12,0.0047586154937744145,1.953125,280917.3145800794
16,Task 13,0.005327687263488769,0.9765625,138512.44486549968
16,Task 14,0.004379453659057617,0.9765625,208238.65776726895
16,Task 15,0.004312973022460937,0.48828125,101438.10561017694
16,Task 16,0.0033344364166259764,0.48828125,134492.90047437054
16,Task 17,0.003537788391113281,0.29296875,72076.30271986769
16,Task 18,0.003053164482116699,0.29296875,87682.16994505891
16,Task 19,0.0039421463012695316,0.1953125,59355.80831756028
16,Task 20,0.0036014652252197264,0.1953125,76774.59336862668
16,Task 21,0.0014036035537719727,0.000762939453,282.6624685953354
16,Task 22,0.00161165714263916,0.0457763672,19651.74177527546
16,Task 23,0.0015252923965454101,0.0915527344,30440.27056057131
16,Task 24,0.0017147636413574218,0.183105469,66639.54390545518
16,Task 25,0.0002270984649658203,0.000762939453,712.4518866546404
17,Task 1,0.0017900705337524415,6.7024231,4907627.847258294
17,Task 2,0.05552750587463379,61.1328125,50217135.28335943
17,Task 3,0.04666299343109131,30.5664062,25990187.278402112
17,Task 4,0.026966452598571777,30.5664062,23037184.474495225
17,Task 5,0.02608964443206787,15.3320312,89661234.3460131
17,Task 6,0.0157737398147583,15.3320312,361910.7266472832
17,Task 7,0.015390753746032715,7.71484375,216702.7714356282
17,Task 8,0.009073572158813476,7.71484375,374984.4353103961
17,Task 9,0.009222307205200196,3.90625,196246.44610743696
17,Task 10,0.006192946434020996,3.90625,324590.1137033845
17,Task 11,0.00631382942199707,1.953125,166333.6339625272
17,Task 12,0.004644784927368164,1.953125,282138.0549129576
17,Task 13,0.005442724227905273,0.9765625,138793.90173407414
17,Task 14,0.004268975257873535,0.9765625,206686.75462269638
17,Task 15,0.004363141059875488,0.48828125,101364.79103636718
17,Task 16,0.003340392112731934,0.48828125,137788.94179340138
17,Task 17,0.0037024259567260743,0.29296875,70552.90400920957
17,Task 18,0.0030443668365478516,0.29296875,89951.32948867882
17,Task 19,0.0037507534027099608,0.1953125,58673.32650650207
17,Task 20,0.003611888885498047,0.1953125,76637.70939473057
17,Task 21,0.001375584602355957,0.000762939453,270.09317990096014
17,Task 22,0.0015956306457519532,0.0457763672,19708.531599968675
17,Task 23,0.0015415048599243164,0.0915527344,31993.57225492315
17,Task 24,0.0017391014099121093,0.183105469,66447.22681354196
17,Task 25,0.00022413253784179688,0.000762939453,726.9636475192474
18,Task 1,0.0018054962158203125,6.7024231,4865698.373124868
18,Task 2,0.05566272735595703,61.1328125,49728658.2294364
18,Task 3,0.0471030330657959,30.5664062,26403874.689829424
18,Task 4,0.026922755241394043,30.5664062,23566321.12799311
18,Task 5,0.025987491607666016,15.3320312,86393273.32212701
18,Task 6,0.015718746185302734,15.3320312,361031.53680358286
18,Task 7,0.015451221466064454,7.71484375,214678.31988388192
18,Task 8,0.009315552711486817,7.71484375,375593.0590808434
18,Task 9,0.00933058261871338,3.90625,197017.8606422198
18,Task 10,0.006390066146850586,3.90625,325725.72517185105
